CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,273,-152,400,52.84,"2,076.65",-115.25,65,"2,070.25","2,082.80",130,"22,000.00","44,070",1.30,1.35,"4,420",-0.70,1.35,29.55,"3,12,409","16,908","83,095",
,-,-,-,-,-,-,780,"1,764.70","2,083.85","1,560","22,050.00",65,1.45,1.60,"1,300",-0.40,1.60,29.43,"14,899",278,836,
,11,-1,5,-,"1,720.40",-320.60,"1,560","1,931.60","2,030.00",780,"22,100.00","1,625",1.50,1.65,"3,575",-0.45,1.65,28.84,"50,368","1,001","6,568",
,1,-,-,-,"1,975.20",-,780,"1,727.65","1,974.40",780,"22,150.00","1,625",1.15,1.75,650,-0.30,1.80,28.43,"25,346",-408,951,
,16,-,8,39.96,"1,847.95",-188.05,780,"1,849.05","1,920.65","1,560","22,200.00",780,1.80,1.85,"2,210",-0.30,1.85,27.83,"90,572","6,306","16,273",
,9,-3,3,-,"1,561.05",-426.45,"1,560","1,775.05","1,879.90",780,"22,250.00",845,1.65,1.85,"4,940",-0.35,1.85,27.12,"26,907",480,"2,186",
,3,-,1,-,"1,535.00",-305.00,"1,560","1,726.05","1,837.65","1,560","22,300.00","2,990",1.85,2.00,"1,560",-0.25,2.00,26.67,"1,10,259","-1,647","11,541",
,1,-,-,58.84,"1,955.35",-,65,"1,675.70","1,756.20",780,"22,350.00","1,755",1.75,2.05,585,-0.35,2.10,26.12,"52,269",177,"2,476",
,16,-4,11,45.27,"1,681.05",-249.55,65,"1,626.40","1,771.05","1,560","22,400.00","2,470",2.10,2.15,130,-0.15,2.30,25.71,"1,52,878","1,144","12,415",
,2,-,-,66.42,"1,917.55",-,780,"1,423.05","1,685.00",780,"22,450.00","1,560",2.25,2.45,"1,755",-0.20,2.45,25.19,"65,401",974,"4,610",
